Category: All categories

Region,Exercise: (2/5/20 - 2/5/21)
Hawaii,100
District of Columbia,97
New York,93
New Jersey,93
Maryland,92
Connecticut,91
Virginia,89
Rhode Island,88
California,88
Illinois,87
Texas,87
Arizona,87
Delaware,87
Massachusetts,87
Utah,86
Colorado,86
Alaska,85
New Mexico,85
Pennsylvania,84
New Hampshire,84
Minnesota,83
Florida,83
Wisconsin,83
Vermont,83
Maine,82
Washington,82
North Dakota,81
Nebraska,81
Iowa,80
Indiana,79
Michigan,79
North Carolina,79
Ohio,79
Nevada,79
Kansas,79
Idaho,79
Wyoming,78
Oregon,77
South Carolina,77
Georgia,77
Missouri,77
Montana,75
Kentucky,75
South Dakota,75
Louisiana,75
Tennessee,74
Mississippi,74
Arkansas,74
Oklahoma,73
West Virginia,73
Alabama,73
