Category: All categories

Week,Skin: (United States),Exercise: (United States),Prayer: (United States)
2020-02-09,62,71,26
2020-02-16,68,71,26
2020-02-23,67,72,27
2020-03-01,63,67,26
2020-03-08,58,62,26
2020-03-15,53,81,36
2020-03-22,57,94,37
2020-03-29,61,96,35
2020-04-05,67,100,37
2020-04-12,69,93,30
2020-04-19,76,95,30
2020-04-26,73,89,30
2020-05-03,73,87,32
2020-05-10,75,84,29
2020-05-17,73,85,29
2020-05-24,77,83,27
2020-05-31,71,76,29
2020-06-07,76,79,25
2020-06-14,79,80,27
2020-06-21,78,78,26
2020-06-28,79,80,26
2020-07-05,75,79,25
2020-07-12,74,78,26
2020-07-19,75,75,27
2020-07-26,75,73,28
2020-08-02,73,72,28
2020-08-09,72,70,26
2020-08-16,68,71,26
2020-08-23,69,69,27
2020-08-30,67,74,27
2020-09-06,66,72,26
2020-09-13,65,72,27
2020-09-20,65,74,32
2020-09-27,66,71,31
2020-10-04,64,69,27
2020-10-11,67,69,27
2020-10-18,67,69,28
2020-10-25,64,66,28
2020-11-01,53,53,27
2020-11-08,67,69,30
2020-11-15,67,69,29
2020-11-22,64,60,28
2020-11-29,66,71,27
2020-12-06,68,68,30
2020-12-13,63,63,27
2020-12-20,62,58,25
2020-12-27,68,73,27
2021-01-03,67,84,32
2021-01-10,68,79,28
2021-01-17,73,79,29
2021-01-24,70,80,27
2021-01-31,69,79,28
