Category: All categories

Region,Prayer: (2/5/20 - 2/5/21)
Louisiana,100
Texas,85
New Mexico,81
Mississippi,76
Florida,76
New Jersey,75
Maryland,74
California,70
New York,70
Georgia,68
Illinois,67
Alabama,67
Delaware,66
Virginia,66
South Carolina,64
Arizona,64
District of Columbia,64
Hawaii,64
Kansas,62
Connecticut,62
Pennsylvania,61
Oklahoma,60
Tennessee,60
Michigan,60
North Carolina,60
Arkansas,59
Nevada,58
Kentucky,58
Nebraska,57
Rhode Island,57
Indiana,56
Missouri,55
West Virginia,55
Massachusetts,54
Ohio,54
Wyoming,53
Minnesota,53
South Dakota,53
Alaska,51
North Dakota,50
Colorado,50
Utah,49
Idaho,49
Iowa,48
Wisconsin,47
Washington,46
Montana,44
Oregon,41
New Hampshire,40
Maine,37
Vermont,34
