Category: All categories

Region,Skin: (2/5/20 - 2/5/21)
New York,100
Hawaii,98
Nevada,94
New Jersey,93
California,93
Arizona,91
Florida,91
Maryland,90
Kentucky,89
Washington,88
Tennessee,87
Delaware,87
Texas,87
Virginia,87
Connecticut,86
West Virginia,86
Rhode Island,85
Louisiana,85
Oklahoma,85
Georgia,84
Alabama,83
Mississippi,83
Illinois,83
Arkansas,83
New Mexico,83
North Carolina,83
Pennsylvania,82
Massachusetts,82
South Carolina,82
New Hampshire,81
Minnesota,81
Alaska,80
Indiana,80
Oregon,80
Wisconsin,79
Michigan,79
Ohio,79
Missouri,79
Utah,78
Kansas,78
North Dakota,78
Maine,77
Colorado,76
Idaho,76
District of Columbia,75
South Dakota,75
Iowa,75
Wyoming,73
Nebraska,73
Vermont,73
Montana,71
