Category: All categories

Region,Skin: (2/5/20 - 2/5/21),Exercise: (2/5/20 - 2/5/21),Prayer: (2/5/20 - 2/5/21)
Hawaii,38%,47%,15%
District of Columbia,35%,51%,14%
Maryland,37%,46%,17%
New Jersey,37%,45%,18%
Connecticut,38%,47%,15%
New York,42%,43%,15%
Massachusetts,39%,48%,13%
Virginia,38%,46%,16%
Rhode Island,39%,47%,14%
California,40%,44%,16%
Utah,39%,48%,13%
Colorado,38%,49%,13%
Illinois,38%,45%,17%
New Hampshire,39%,50%,11%
Delaware,41%,43%,16%
Vermont,39%,51%,10%
Nebraska,37%,48%,15%
Pennsylvania,39%,45%,16%
North Dakota,38%,48%,14%
New Mexico,37%,42%,21%
West Virginia,47%,40%,13%
Arizona,41%,43%,16%
Alaska,42%,46%,12%
Florida,39%,43%,18%
Texas,38%,42%,20%
Minnesota,39%,47%,14%
Kansas,38%,46%,16%
Washington,41%,46%,13%
Wisconsin,39%,48%,13%
North Carolina,40%,44%,16%
Nevada,41%,43%,16%
South Dakota,38%,46%,16%
Idaho,42%,46%,12%
Michigan,40%,45%,15%
Oregon,42%,47%,11%
Georgia,40%,42%,18%
Montana,40%,48%,12%
Ohio,40%,45%,15%
Kentucky,43%,43%,14%
Maine,43%,47%,10%
Wyoming,40%,46%,14%
Indiana,41%,44%,15%
Mississippi,42%,39%,19%
Louisiana,37%,39%,24%
Iowa,41%,45%,14%
Missouri,41%,44%,15%
Tennessee,42%,43%,15%
Oklahoma,42%,42%,16%
South Carolina,42%,41%,17%
Alabama,41%,41%,18%
Arkansas,42%,41%,17%
